x yn
7.275260 0.013376
8.385381 0.115510
6.911777 0.158656
4.876868 0.226324
3.412391 0.260756
4.780120 0.105468
6.990258 0.015261
3.206980 0.353505
7.476035 0.166129
2.056090 0.701762
9.062576 0.066853
5.806336 0.134042
6.176867 0.143499
8.776145 0.101290
5.024469 0.107018
3.527406 0.310664
7.522858 0.088669
6.094613 0.207255
7.974952 0.000001
1.134004 1.588011
9.210748 0.000001
2.249699 0.686029
1.911064 0.708371
8.061351 0.000001
6.664126 0.048058
1.066701 1.729645
1.687614 0.953041
9.100548 0.007983
4.357662 0.335724
2.365308 0.577679
1.611603 0.961588
3.847385 0.468745
5.813086 0.040694
2.572027 0.373076
7.504823 0.058709
5.324481 0.182026
6.877942 0.045109
6.548214 0.000795
5.389809 0.197299
8.928630 0.000001
1.957258 0.741529
9.642295 0.009819
2.320137 0.706553
1.494289 1.113132
6.811449 0.141009
1.213236 1.493179
8.872489 0.215108
5.448660 0.240904
2.077942 0.686602
7.577203 0.000001
6.462195 0.288722
2.348488 0.537887
4.420062 0.162818
7.047698 0.077933
7.553558 0.000001
7.673485 0.117741
9.250550 0.000001
8.210425 0.112645
2.713197 0.398415
2.094873 0.726267
1.826689 0.901896
4.428195 0.138427
7.916211 0.103020
5.647949 0.055891
9.975020 0.192165
6.959830 0.187963
4.891809 0.206737
7.696560 0.198797
3.474479 0.198045
6.753020 0.111489
8.194292 0.181018
7.697993 0.109338
5.774537 0.229072
5.751620 0.175643
1.446481 1.308941
8.280429 0.182454
2.715622 0.262536
6.469116 0.331340
2.868670 0.455555
1.663537 0.977355
5.694677 0.000001
4.351343 0.239925
6.006682 0.000001
9.932456 0.026402
3.114791 0.249572
8.174394 0.000001
8.842798 0.097708
6.132659 0.165350
9.990229 0.002889
8.136817 0.066291
5.695426 0.316836
8.367175 0.000001
1.409780 1.168491
6.269678 0.251040
3.176259 0.274886
6.570609 0.068048
5.048568 0.281692
8.879426 0.047892
3.722524 0.233645
7.101474 0.033310
